Cash Positions Details,,,,,,,,Account Details,,,,,,Future Positions List,,,,,
Client ID,Accounting Balance,Accounting Balance,Value Date,Balance at Value Date,Balance at Value Date,Exchange Values Rate,Last Booking Date,IBAN,KBL Cash Account Number,Client Name,Account Title,Account Type,Account currency,Future Date D+1,Future Position D+1,Future Date D+2,Future Position D+2,Future Date D+3,Future Position D+3
,,Exchange Value (EUR),,,Exchange Value (EUR),,,,,,,,,,,,,,
ID-6CAF0219,"3.479,29","3.984,24",31/12/2025,"3.479,29","3.984,24","1,145,130,784,275,790",31/12/2025,ID-88C27BC0,ID-6CAF0219,,ID-C111FEFC,CC,GBP,02/01/2026,"3.479,29",05/01/2026,"3.479,29",06/01/2026,"3.479,29"
ID-6CAF0219,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",07/02/2025,ID-88C27BC0,ID-6CAF0219,,ID-C111FEFC,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-6CAF0219,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",26/06/2023,ID-88C27BC0,ID-6CAF0219,,ID-C111FEFC,76,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-6CAF0219,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",31/12/2025,ID-88C27BC0,ID-6CAF0219,,ID-C111FEFC,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-B8256024,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",22/01/2025,ID-BB2E3F91,ID-B8256024,,ID-5FB6B9DF,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-B8256024,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",06/08/2021,ID-BB2E3F91,ID-B8256024,,ID-5FB6B9DF,75,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-B8256024,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",25/01/2023,ID-BB2E3F91,ID-B8256024,,ID-5FB6B9DF,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-B8256024,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",20/12/2021,ID-BB2E3F91,ID-B8256024,,ID-5FB6B9DF,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-B8256024,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",17/07/2023,ID-BB2E3F91,ID-B8256024,,ID-5FB6B9DF,76,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
